Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.codehaus.plexus.util.FastMap$EntrySet$1	boolean hasNext()	3	3	null
org.codehaus.plexus.util.FastMap$EntrySet$1	java.lang.Object next()	4	4	null
org.codehaus.plexus.util.CachedMap	java.lang.Object get(java.lang.Object)	29	4	4
org.codehaus.plexus.util.CachedMap	java.lang.Object put(java.lang.Object,java.lang.Object)	2	1	1
org.codehaus.plexus.util.FastMap	java.lang.Object get(java.lang.Object)	29	4	4
org.codehaus.plexus.util.FastMap	java.lang.Object put(java.lang.Object,java.lang.Object)	2	1	1
org.codehaus.plexus.util.CollectionUtils	java.util.Map mergeMaps(java.util.Map[])	7	2	1
org.codehaus.plexus.util.CollectionUtils	java.util.List iteratorToList(java.util.Iterator)	2	2	null
org.codehaus.plexus.util.FileUtils	java.lang.String byteCountToDisplaySize(int)	4	1	1
org.codehaus.plexus.util.FileUtils	boolean fileExists(java.lang.String)	4	1	1
org.codehaus.plexus.util.FileUtils	java.lang.String fileRead(java.lang.String)	5	2	1
org.codehaus.plexus.util.FileUtils	java.lang.String fileRead(java.io.File,java.lang.String)	3	3	null
org.codehaus.plexus.util.FileUtils	void fileAppend(java.lang.String,java.lang.String)	3	3	null
org.codehaus.plexus.util.FileUtils	void fileWrite(java.lang.String,java.lang.String)	2	2	null
org.codehaus.plexus.util.FileUtils	void fileWrite(java.lang.String,java.lang.String,java.lang.String)	7	4	3
org.codehaus.plexus.util.FileUtils	boolean waitFor(java.lang.String,int)	2	1	1
org.codehaus.plexus.util.FileUtils	java.lang.String[] getFilesFromExtension(java.lang.String,java.lang.String[])	2	1	1
org.codehaus.plexus.util.FileUtils	void mkdir(java.lang.String)	5	2	2
org.codehaus.plexus.util.FileUtils	boolean contentEquals(java.io.File,java.io.File)	5	2	1
org.codehaus.plexus.util.FileUtils	java.io.File toFile(java.net.URL)	3	3	null
org.codehaus.plexus.util.FileUtils	java.lang.String removeExtension(java.lang.String)	2	2	null
org.codehaus.plexus.util.FileUtils	java.lang.String getExtension(java.lang.String)	3	3	null
org.codehaus.plexus.util.FileUtils	void copyFileToDirectory(java.io.File,java.io.File)	2	2	null
org.codehaus.plexus.util.FileUtils	void copyFileToDirectoryIfModified(java.io.File,java.io.File)	4	2	2
org.codehaus.plexus.util.FileUtils	void copyFile(java.io.File,java.io.File)	9	7	2
org.codehaus.plexus.util.FileUtils	boolean copyFileIfModified(java.io.File,java.io.File)	3	3	null
org.codehaus.plexus.util.FileUtils	void copyURLToFile(java.net.URL,java.io.File)	3	2	1
org.codehaus.plexus.util.FileUtils	java.lang.String catPath(java.lang.String,java.lang.String)	2	1	1
org.codehaus.plexus.util.FileUtils	java.io.File resolveFile(java.io.File,java.lang.String)	2	2	null
org.codehaus.plexus.util.FileUtils	void forceDelete(java.io.File)	6	6	null
org.codehaus.plexus.util.FileUtils	void forceMkdir(java.io.File)	7	4	1
org.codehaus.plexus.util.FileUtils	void deleteDirectory(java.io.File)	9	9	null
org.codehaus.plexus.util.FileUtils	long sizeOfDirectory(java.io.File)	3	1	1
org.codehaus.plexus.util.FileUtils	java.util.List getFiles(java.io.File,java.lang.String,java.lang.String,boolean)	2	2	null
org.codehaus.plexus.util.FileUtils	void copyDirectoryStructure(java.io.File,java.io.File)	3	3	null
org.codehaus.plexus.util.FileUtils	void copyDirectoryStructureIfModified(java.io.File,java.io.File)	3	1	1
org.codehaus.plexus.util.FileUtils	java.io.File createTempFile(java.lang.String,java.lang.String,java.io.File)	2	1	1
org.codehaus.plexus.util.FileUtils	void copyFile(java.io.File,java.io.File,java.lang.String,org.codehaus.plexus.util.FileUtils$FilterWrapper[])	4	3	1
org.codehaus.plexus.util.FileUtils	boolean isValidWindowsFileName(java.io.File)	8	1	1
org.codehaus.plexus.util.reflection.Reflector	java.lang.Object getObjectProperty(java.lang.Object,java.lang.String)	3	3	null
org.codehaus.plexus.util.DirectoryScannerTest	java.lang.String getTestResourcesDir()	2	2	null
org.codehaus.plexus.util.DirectoryScannerTest	void createTestFiles()	2	2	null
org.codehaus.plexus.util.DirectoryScannerTest	boolean checkTestFilesSymlinks()	4	4	null
org.codehaus.plexus.util.DirectoryScannerTest	void assertAlwaysIncluded(java.util.List)	2	2	null
org.codehaus.plexus.util.DirectoryScannerTest	void createTestDirectories()	2	2	null
org.codehaus.plexus.util.DirectoryScannerTest	void printTestHeader()	5	5	null
org.codehaus.plexus.util.DirectoryScannerTest	void assertInclusionsAndExclusions(java.lang.String[],java.lang.String[],java.lang.String[])	6	6	null
org.codehaus.plexus.util.DirectoryScannerTest	void createFiles(java.io.File,java.lang.String[])	10	5	5
org.codehaus.plexus.util.LineOrientedInterpolatingReaderTest	java.util.Map getStandardMap()	6	6	null
org.codehaus.plexus.util.SweeperPoolTest$TestObjectPool	java.util.Vector testGetDisposedObjects()	3	2	1
org.codehaus.plexus.util.IOUtilTest$TestWriter	void close()	23	16	6
org.codehaus.plexus.util.IOUtilTest	void assertEqualContent(byte[],byte[])	2	2	null
org.codehaus.plexus.util.IOUtilTest	java.io.File newFile(java.lang.String)	8	8	null
org.codehaus.plexus.util.IOUtilTest	void checkFile(java.io.File)	8	8	null
org.codehaus.plexus.util.IOUtilTest	void checkWrite(java.io.OutputStream)	4	4	null
org.codehaus.plexus.util.IOUtilTest	void checkWrite(java.io.Writer)	4	4	null
org.codehaus.plexus.util.IOUtilTest	void deleteFile(java.io.File)	8	8	null
org.codehaus.plexus.util.introspection.ReflectionValueExtractorTest$Dependency	java.lang.String getArtifactId()	3	1	1
org.codehaus.plexus.util.cli.CommandLineUtilsTest	void assertCmdLineArgs(java.lang.String[],java.lang.String)	8	1	1
org.codehaus.plexus.util.cli.shell.BourneShellTest	org.codehaus.plexus.util.cli.shell.Shell newShell()	10	8	1
org.codehaus.plexus.util.cli.CommandlineTest	void createAndCallScript(java.io.File,java.lang.String)	8	5	3
org.codehaus.plexus.util.cli.StreamPumperTest$TestConsumer	boolean wasLineConsumed(java.lang.String,long)	2	1	1
org.codehaus.plexus.util.cli.StreamPumperTest$TestConsumer	java.util.List access$000(org.codehaus.plexus.util.cli.StreamPumperTest$TestConsumer)	2	2	null
org.codehaus.plexus.util.InterpolationFilterReaderTest	java.lang.String interpolate(java.lang.String,java.util.Map)	5	5	null
org.codehaus.plexus.util.InterpolationFilterReaderTest	java.lang.String interpolate(java.lang.String,java.util.Map,java.lang.String,java.lang.String)	6	6	null
org.codehaus.plexus.util.FileUtilsTest	void reallySleep(int)	2	2	null
org.codehaus.plexus.util.xml.XmlUtilTest	java.lang.String getBasedir()	4	4	null
org.codehaus.plexus.util.xml.XmlUtilTest	java.io.File getTestOutputFile(java.lang.String)	3	3	null
org.codehaus.plexus.util.xml.Xpp3DomWriterTest	java.lang.String createExpectedXML(boolean)	2	2	null
org.codehaus.plexus.util.xml.Xpp3DomWriterTest	org.codehaus.plexus.util.xml.Xpp3Dom createXpp3Dom()	2	2	null
org.codehaus.plexus.util.xml.XmlStreamWriterTest	void checkXmlWriter(java.lang.String,java.lang.String)	10	10	null
org.codehaus.plexus.util.xml.PrettyPrintXMLWriterTest	void initWriter()	2	1	1
org.codehaus.plexus.util.xml.PrettyPrintXMLWriterTest	void writeXhtmlHead(org.codehaus.plexus.util.xml.XMLWriter)	3	3	null
org.codehaus.plexus.util.xml.PrettyPrintXMLWriterTest	void writeXhtmlBody(org.codehaus.plexus.util.xml.XMLWriter)	3	3	null
org.codehaus.plexus.util.xml.PrettyPrintXMLWriterTest	java.lang.String expectedResult(java.lang.String)	2	2	null
org.codehaus.plexus.util.xml.Xpp3DomBuilderTest	java.lang.String createDomString()	5	5	null
org.codehaus.plexus.util.xml.Xpp3DomBuilderTest	org.codehaus.plexus.util.xml.Xpp3Dom createExpectedDom()	3	3	null
org.codehaus.plexus.util.xml.XmlWriterUtilTest	void setUp()	7	6	1
org.codehaus.plexus.util.xml.XmlWriterUtilTest	void tearDown()	7	6	1
