Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.io.serialization.ValidatingObjectInputStream	org.apache.commons.io.serialization.ValidatingObjectInputStream accept(java.lang.String[])	6	6	null
org.apache.commons.io.serialization.ValidatingObjectInputStream	org.apache.commons.io.serialization.ValidatingObjectInputStream reject(java.lang.String[])	2	2	null
org.apache.commons.io.serialization.WildcardClassNameMatcher	boolean matches(java.lang.String)	7	3	3
org.apache.commons.io.FileCleaningTracker	void track(java.io.File,java.lang.Object)	2	2	null
org.apache.commons.io.FileCleaningTracker	void track(java.io.File,java.lang.Object,org.apache.commons.io.FileDeleteStrategy)	3	3	null
org.apache.commons.io.FileCleaningTracker	void track(java.lang.String,java.lang.Object)	5	5	null
org.apache.commons.io.FileCleaningTracker	int getTrackCount()	19	7	6
org.apache.commons.io.FileCleaningTracker	void exitWhenFinished()	4	4	null
org.apache.commons.io.comparator.DirectoryFileComparator	int compare(java.lang.Object,java.lang.Object)	16	5	4
org.apache.commons.io.comparator.SizeFileComparator	int compare(java.lang.Object,java.lang.Object)	16	5	4
org.apache.commons.io.comparator.PathFileComparator	int compare(java.lang.Object,java.lang.Object)	19	5	4
org.apache.commons.io.comparator.ReverseComparator	int compare(java.lang.Object,java.lang.Object)	16	5	4
org.apache.commons.io.comparator.ExtensionFileComparator	int compare(java.lang.Object,java.lang.Object)	19	5	4
org.apache.commons.io.comparator.CompositeFileComparator	java.lang.String toString()	2	2	null
org.apache.commons.io.comparator.CompositeFileComparator	int compare(java.lang.Object,java.lang.Object)	23	8	7
org.apache.commons.io.comparator.DefaultFileComparator	int compare(java.lang.Object,java.lang.Object)	16	5	4
org.apache.commons.io.comparator.NameFileComparator	int compare(java.lang.Object,java.lang.Object)	19	5	4
org.apache.commons.io.comparator.LastModifiedFileComparator	int compare(java.lang.Object,java.lang.Object)	16	5	4
org.apache.commons.io.FilenameUtils	java.lang.String normalize(java.lang.String)	140	2	2
org.apache.commons.io.FilenameUtils	java.lang.String normalize(java.lang.String,boolean)	4	1	1
org.apache.commons.io.FilenameUtils	java.lang.String normalizeNoEndSeparator(java.lang.String)	138	1	1
