Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.helger.commons.collection.ArrayHelper	int getSize(java.lang.Object[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(boolean[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(byte[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(char[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(double[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(float[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(int[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(long[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(short[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean isEmpty(java.lang.Object[])	4	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(java.lang.Object[],java.lang.Object)	6	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(boolean[],boolean)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(byte[],byte)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(char[],char)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(double[],double)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(float[],float)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(int[],int)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(long[],long)	3	1	1
com.helger.commons.collection.ArrayHelper	int getFirstIndex(short[],short)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(java.lang.Object[],java.lang.Object)	5	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(boolean[],boolean)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(byte[],byte)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(char[],char)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(double[],double)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(float[],float)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(int[],int)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(long[],long)	3	1	1
com.helger.commons.collection.ArrayHelper	int getLastIndex(short[],short)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(java.lang.Object[],java.lang.Object)	5	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(boolean[],boolean)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(byte[],byte)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(char[],char)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(double[],double)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(float[],float)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(int[],int)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(long[],long)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean contains(short[],short)	3	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object getFirst(java.lang.Object[])	3	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object getLast(java.lang.Object[])	3	1	1
com.helger.commons.collection.ArrayHelper	boolean[] getCopy(boolean[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean[] getCopy(boolean[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	boolean[] getCopy(boolean[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	byte[] getCopy(byte[])	2	1	1
com.helger.commons.collection.ArrayHelper	byte[] getCopy(byte[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	byte[] getCopy(byte[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	char[] getCopy(char[])	2	1	1
com.helger.commons.collection.ArrayHelper	char[] getCopy(char[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	char[] getCopy(char[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	double[] getCopy(double[])	2	1	1
com.helger.commons.collection.ArrayHelper	double[] getCopy(double[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	double[] getCopy(double[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	float[] getCopy(float[])	2	1	1
com.helger.commons.collection.ArrayHelper	float[] getCopy(float[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	float[] getCopy(float[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	int[] getCopy(int[])	2	1	1
com.helger.commons.collection.ArrayHelper	int[] getCopy(int[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	int[] getCopy(int[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	long[] getCopy(long[])	2	1	1
com.helger.commons.collection.ArrayHelper	long[] getCopy(long[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	long[] getCopy(long[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	short[] getCopy(short[])	2	1	1
com.helger.commons.collection.ArrayHelper	short[] getCopy(short[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	short[] getCopy(short[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object[] getCopy(java.lang.Object[])	2	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object[] getCopy(java.lang.Object[],int)	2	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object[] getCopy(java.lang.Object[],int,int)	2	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object[] getConcatenated(java.lang.Object[],java.lang.Object[])	5	2	1
com.helger.commons.collection.ArrayHelper	java.lang.Object[] getConcatenated(java.lang.Object,java.lang.Object[],java.lang.Class)	3	1	1
com.helger.commons.collection.ArrayHelper	java.lang.Object[] getConcatenated(java.lang.Object[],java.lang.Object,java.lang.Class)	3	1	1
com.helger.commons.collection.ArrayHelper	boolean[] getConcatenated(boolean[],boolean[])	3	1	1
com.helger.commons.collection.ArrayHelper	boolean[] getConcatenated(boolean,boolean[])	2	1	1
com.helger.commons.collection.ArrayHelper	boolean[] getConcatenated(boolean[],boolean)	2	1	1
