Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.collections4.FactoryUtils	org.apache.commons.collections4.Factory instantiateFactory(java.lang.Class)	2	2	null
org.apache.commons.collections4.FactoryUtils	org.apache.commons.collections4.Factory instantiateFactory(java.lang.Class,java.lang.Class[],java.lang.Object[])	3	3	null
org.apache.commons.collections4.IterableUtils$8	java.util.Iterator iterator()	27	15	10
org.apache.commons.collections4.IterableUtils$5	java.util.Iterator iterator()	27	15	10
org.apache.commons.collections4.IterableUtils$UnmodifiableIterable	java.util.Iterator iterator()	27	15	10
org.apache.commons.collections4.ListUtils$CharSequenceAsList	int size()	76	40	15
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate exceptionPredicate()	5	1	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate notNullPredicate()	7	1	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate identityPredicate(java.lang.Object)	7	1	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate instanceofPredicate(java.lang.Class)	6	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate uniquePredicate()	3	3	null
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate invokerPredicate(java.lang.String)	5	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate invokerPredicate(java.lang.String,java.lang.Class[],java.lang.Object[])	5	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate andPredicate(org.apache.commons.collections4.Predicate,org.apache.commons.collections4.Predicate)	5	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate orPredicate(org.apache.commons.collections4.Predicate,org.apache.commons.collections4.Predicate)	5	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate anyPredicate(org.apache.commons.collections4.Predicate[])	8	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate anyPredicate(java.util.Collection)	11	5	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate eitherPredicate(org.apache.commons.collections4.Predicate,org.apache.commons.collections4.Predicate)	5	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate onePredicate(org.apache.commons.collections4.Predicate[])	10	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate onePredicate(java.util.Collection)	10	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate neitherPredicate(org.apache.commons.collections4.Predicate,org.apache.commons.collections4.Predicate)	5	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate nonePredicate(org.apache.commons.collections4.Predicate[])	8	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate nonePredicate(java.util.Collection)	10	4	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate notPredicate(org.apache.commons.collections4.Predicate)	6	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate asPredicate(org.apache.commons.collections4.Transformer)	4	3	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate nullIsExceptionPredicate(org.apache.commons.collections4.Predicate)	3	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate nullIsFalsePredicate(org.apache.commons.collections4.Predicate)	4	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate nullIsTruePredicate(org.apache.commons.collections4.Predicate)	4	2	1
org.apache.commons.collections4.PredicateUtils	org.apache.commons.collections4.Predicate transformedPredicate(org.apache.commons.collections4.Transformer,org.apache.commons.collections4.Predicate)	4	1	1
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator	java.lang.Object previous()	2	2	null
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator	java.lang.Object setValue(java.lang.Object)	2	2	null
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator	java.lang.Object getValue()	3	3	null
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator	java.lang.Object getKey()	3	3	null
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator	java.lang.Object next()	32	25	4
org.apache.commons.collections4.bidimap.TreeBidiMap$EntryView	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.bidimap.TreeBidiMap$EntryView	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$ValuesIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$ValuesIterator	void remove()	3	2	1
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator	boolean hasNext()	32	18	10
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator	java.lang.Object next()	41	25	5
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator	void remove()	5	4	1
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator	java.lang.Object getKey()	2	2	null
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator	java.lang.Object getValue()	2	2	null
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator	void reset()	8	5	1
org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator	java.lang.Object previous()	2	2	null
org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator	java.lang.Object setValue(java.lang.Object)	2	2	null
org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator	java.lang.Object getValue()	3	3	null
org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator	java.lang.Object getKey()	3	3	null
org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator	java.lang.Object next()	32	25	4
org.apache.commons.collections4.bidimap.TreeBidiMap	int size()	6	2	2
org.apache.commons.collections4.bidimap.TreeBidiMap	boolean isEmpty()	2	2	null
org.apache.commons.collections4.bidimap.TreeBidiMap	java.lang.Object get(java.lang.Object)	64	9	7
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySet	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseEntryView	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseEntryView	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.TreeBidiMap$KeyView	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.TreeBidiMap$KeyView	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator	void remove()	3	2	1
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	boolean hasNext()	34	20	10
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	java.lang.Object next()	43	27	5
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	boolean hasPrevious()	2	2	null
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	java.lang.Object previous()	2	2	null
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	void remove()	7	6	1
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	java.lang.Object getKey()	3	3	null
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	java.lang.Object getValue()	3	3	null
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	java.lang.Object setValue(java.lang.Object)	2	2	null
org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator	void reset()	8	5	1
org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapEntryIterator	java.lang.Object next()	29	22	4
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$MapEntry	java.lang.Object setValue(java.lang.Object)	3	3	null
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$Values	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$Values	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.bidimap.TreeBidiMap$ValueView	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.bidimap.TreeBidiMap$ValueView	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapEntryIterator	java.lang.Object next()	29	22	4
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySetIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySetIterator	void remove()	3	2	1
org.apache.commons.collections4.bidimap.TreeBidiMap$Node	java.lang.Object setValue(java.lang.Object)	3	3	null
org.apache.commons.collections4.bidimap.TreeBidiMap$Node	java.lang.Object getValue()	7	3	2
org.apache.commons.collections4.bidimap.TreeBidiMap$Node	java.lang.Object getKey()	6	2	2
